source,destination_repository_module,target_public_symbol,disposition,preserved_behavior,replacement_deletion_rationale,behavioral_test_id,source_commit
graphics/schedulers/render2d/Render2DScissor.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.scheduler.Render2DScissor,port,Represents optional framebuffer scissor state for queued commands,Scissor state remains a scheduler value,MIG-SCHEDULER-SCISSOR,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/schedulers/render2d/Render2DTexture.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.scheduler.Render2DTexture,protocol-replace,Represents a queued texture handle and sampling choice,Replace Minecraft resource identifiers with core texture handles,MIG-SCHEDULER-TEXTURE,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/schedulers/render3d/Render3DScheduler.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.scheduler.Render3DScheduler,protocol-replace,Queues and flushes depth-aware 3D render work,Replace global frame and target access with injected render context,MIG-SCHEDULER-3D,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/shaders/BlurShader.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.shader.BlurShader,protocol-replace,Configures multipass blur uniforms textures and dispatch order,Use namespaced resources and injected target dimensions,MIG-SHADER-BLUR,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/shaders/FilterShader.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.shader.FilterShader,protocol-replace,Applies configurable color filtering through a fullscreen pass,Use namespaced resources and explicit render inputs,MIG-SHADER-FILTER,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/shaders/FXAAShader.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.shader.FxaaShader,protocol-replace,Applies FXAA using current target texel dimensions,Use namespaced resources and injected target dimensions,MIG-SHADER-FXAA,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/shaders/GlslSandBox.java,LuminGraphics/lumin-graphics-render,com.github.slmpc.lumingraphics.render.shader.GlslSandbox,protocol-replace,Runs selectable fullscreen fragment shaders with time and resolution inputs,Replace Minecraft window globals with explicit frame uniforms,MIG-SHADER-SANDBOX,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/text/GlyphDescriptor.java,LuminGraphics/lumin-graphics-text,com.github.slmpc.lumingraphics.text.GlyphDescriptor,port,Describes glyph metrics UV coordinates and atlas identity,Glyph data belongs to the standalone text API,MIG-TEXT-GLYPH-DESCRIPTOR,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/text/IconChars.java,LuminGraphics/lumin-graphics-text,com.github.slmpc.lumingraphics.text.IconChars,port,Publishes stable icon codepoint constants,Icon codepoints remain part of text-facing API,MIG-TEXT-ICON-CHARS,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/text/IFontLoader.java,LuminGraphics/lumin-graphics-text,com.github.slmpc.lumingraphics.text.FontLoader,port,Defines glyph lookup preparation metrics and destruction behavior,Rename interface into standalone text namespace,MIG-TEXT-FONT-LOADER,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/text/ITextRenderer.java,LuminGraphics/lumin-graphics-text,com.github.slmpc.lumingraphics.text.TextRenderer,port,Defines measurement and draw operations for text consumers,Rename interface into standalone text namespace,MIG-TEXT-RENDERER,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/text/StaticFontLoader.java,LuminGraphics/lumin-graphics-text,com.github.slmpc.lumingraphics.text.FontRegistry,protocol-replace,Selects builtin or custom default fonts and releases owned loaders,Replace static ClientSetting and holder coupling with an explicit FontRegistry lifecycle,MIG-TEXT-FONT-REGISTRY,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/text/SystemEmojiAtlas.java,LuminGraphics/lumin-graphics-text,com.github.slmpc.lumingraphics.text.SystemEmojiAtlas,protocol-replace,Discovers emoji fonts and packs requested emoji glyphs into an atlas,Replace platform and texture globals with injected font discovery and texture upload protocols,MIG-TEXT-EMOJI-ATLAS,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/text/minecraft/EpsilonFontGlyph.java,LuminGraphics-MC/version-common,com.github.slmpc.lumingraphics.mc.text.FontGlyphAdapter,move-to-MC,Adapts Lumin glyph geometry and texture sampling to Minecraft baked glyph rendering,Minecraft font interfaces belong only in the version-common adapter,MIG-MC-FONT-GLYPH,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/text/minecraft/EpsilonFontMetrics.java,LuminGraphics-MC/version-common,com.github.slmpc.lumingraphics.mc.text.FontMetricsAdapter,move-to-MC,Matches Minecraft styled text advance decomposition and scale,Minecraft text types belong only in the version-common adapter,MIG-MC-FONT-METRICS,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/text/minecraft/EpsilonTextRenderable.java,LuminGraphics-MC/version-common,com.github.slmpc.lumingraphics.mc.text.TextRenderableAdapter,move-to-MC,Adapts styled character sequences into Minecraft text renderables,Minecraft renderable interfaces belong only in the version-common adapter,MIG-MC-TEXT-RENDERABLE,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/text/ttf/TtfFontFile.java,LuminGraphics/lumin-graphics-text,com.github.slmpc.lumingraphics.text.ttf.TtfFontFile,port,Loads TTF bytes and exposes deterministic glyph metrics,Font parsing belongs to standalone text,MIG-TEXT-TTF-FILE,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/text/ttf/TtfFontLoader.java,LuminGraphics/lumin-graphics-text,com.github.slmpc.lumingraphics.text.ttf.TtfFontLoader,protocol-replace,Queues rasterizes uploads and caches glyphs with per-frame limits,Replace Minecraft identifiers with resource streams and injected atlas upload,MIG-TEXT-TTF-LOADER,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/text/ttf/TtfGlyph.java,LuminGraphics/lumin-graphics-text,com.github.slmpc.lumingraphics.text.ttf.TtfGlyph,port,Stores rasterized glyph pixels bearings and advance,Glyph raster data belongs to standalone text,MIG-TEXT-TTF-GLYPH,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/text/ttf/TtfGlyphAtlas.java,LuminGraphics/lumin-graphics-text,com.github.slmpc.lumingraphics.text.ttf.TtfGlyphAtlas,protocol-replace,Packs glyph bitmaps and tracks atlas UV coordinates,Replace Minecraft texture manager global with injected texture registry protocol,MIG-TEXT-TTF-ATLAS,181ece162e9f8618fe57281bb6ee29cc2c542579
graphics/text/ttf/TtfTextRenderer.java,LuminGraphics/lumin-graphics-text,com.github.slmpc.lumingraphics.text.ttf.TtfTextRenderer,protocol-replace,Measures and emits styled glyph sequences with shadow and alignment,Use render glyph batching through an injected text render sink,MIG-TEXT-TTF-RENDERER,181ece162e9f8618fe57281bb6ee29cc2c542579
gui/lib/UiRect.java,LuminGraphics/lumin-graphics-ui,com.github.slmpc.lumingraphics.ui.UiRect,port,Represents immutable UI bounds and containment operations,UI geometry belongs in the standalone UI module,MIG-UI-RECT,181ece162e9f8618fe57281bb6ee29cc2c542579
gui/lib/UiTextMetrics.java,LuminGraphics/lumin-graphics-ui,com.github.slmpc.lumingraphics.ui.UiTextMetrics,protocol-replace,Measures labels and computes baseline placement,Consume the standalone text measurement protocol,MIG-UI-TEXT-METRICS,181ece162e9f8618fe57281bb6ee29cc2c542579
gui/lib/UiTheme.java,LuminGraphics/lumin-graphics-ui,com.github.slmpc.lumingraphics.ui.UiTheme,port,Defines UI colors spacing typography and control dimensions,Theme data belongs in standalone UI,MIG-UI-THEME,181ece162e9f8618fe57281bb6ee29cc2c542579
gui/lib/UiTree.java,LuminGraphics/lumin-graphics-ui,com.github.slmpc.lumingraphics.ui.UiTree,protocol-replace,Maintains retained UI identity layout input focus clipping and invalidation,Replace Minecraft input/window globals with explicit UI input and viewport protocols,MIG-UI-TREE,181ece162e9f8618fe57281bb6ee29cc2c542579
gui/lib/control/UiScrollBar.java,LuminGraphics/lumin-graphics-ui,com.github.slmpc.lumingraphics.ui.control.UiScrollBar,port,Computes scrollbar geometry hit testing dragging and scroll mapping,Control behavior belongs in standalone UI,MIG-UI-SCROLLBAR,181ece162e9f8618fe57281bb6ee29cc2c542579
gui/lib/render/LuminUiRenderer.java,LuminGraphics/lumin-graphics-ui,com.github.slmpc.lumingraphics.ui.render.LuminUiRenderer,protocol-replace,Translates UI commands into clipped shape texture and text batches,Consume injected render and text services instead of global holders,MIG-UI-RENDERER,181ece162e9f8618fe57281bb6ee29cc2c542579
gui/lib/render/UiContentBuffer.java,LuminGraphics/lumin-graphics-ui,com.github.slmpc.lumingraphics.ui.render.UiContentBuffer,port,Buffers ordered UI content commands between layout and rendering,UI command buffering belongs in standalone UI,MIG-UI-CONTENT-BUFFER,181ece162e9f8618fe57281bb6ee29cc2c542579
gui/lib/render/UiRenderBatch.java,LuminGraphics/lumin-graphics-ui,com.github.slmpc.lumingraphics.ui.render.UiRenderBatch,port,Groups compatible UI draw commands while preserving clip order,UI batching belongs in standalone UI,MIG-UI-RENDER-BATCH,181ece162e9f8618fe57281bb6ee29cc2c542579
gui/lib/scene/UiLayer.java,LuminGraphics/lumin-graphics-ui,com.github.slmpc.lumingraphics.ui.scene.UiLayer,port,Defines a renderable and input-aware UI layer,Layer lifecycle belongs in standalone UI,MIG-UI-LAYER,181ece162e9f8618fe57281bb6ee29cc2c542579
gui/lib/scene/UiLayerStack.java,LuminGraphics/lumin-graphics-ui,com.github.slmpc.lumingraphics.ui.scene.UiLayerStack,port,Orders modal layers and dispatches input from top to bottom,Layer composition belongs in standalone UI,MIG-UI-LAYER-STACK,181ece162e9f8618fe57281bb6ee29cc2c542579
gui/lib/scene/UiScene.java,LuminGraphics/lumin-graphics-ui,com.github.slmpc.lumingraphics.ui.scene.UiScene,protocol-replace,Coordinates tree layout rendering and scene-level input,Replace client globals with explicit viewport input and renderer dependencies,MIG-UI-SCENE,181ece162e9f8618fe57281bb6ee29cc2c542579
gui/lib/state/UiInvalidationState.java,LuminGraphics/lumin-graphics-ui,com.github.slmpc.lumingraphics.ui.state.UiInvalidationState,port,Tracks layout paint and content invalidation transitions,Invalidation state belongs in standalone UI,MIG-UI-INVALIDATION,181ece162e9f8618fe57281bb6ee29cc2c542579
